Año,Mes,Departamento,Producto General,Descripcion Partida 4 Digitos,Partida,Descripcion Partida10 Digitos,Exportaciones en valor (Miles USD FOB),Exportaciones en volumen (toneladas)
2022,Septiembre,Antioquia,Aceite de lino,"1515-Las demás grasas y aceites vegetales fijos (incluido el aceite de jojoba), y sus fracciones.",1515190000,"Los demás aceites de lino (linaza) y sus fracciones, incluso refinados, pero sin modificar químicamente.",7,1
2022,Septiembre,Antioquia,Aceites esenciales,"3301-Aceites esenciales (desterpenados o no), incluidos los ""concretos"" o ""absolutos"", resinoides.",3301120000,Aceites esenciales de naranja.,84,17
2022,Septiembre,Antioquia,Aceites esenciales,"3301-Aceites esenciales (desterpenados o no), incluidos los ""concretos"" o ""absolutos"", resinoides.",3301292000,Aceites esenciales de eucalipto.,1,0
2022,Septiembre,Antioquia,Aceites esenciales,"3301-Aceites esenciales (desterpenados o no), incluidos los ""concretos"" o ""absolutos"", resinoides.",3301902000,Oleorresinas de extracción.,3,1
2022,Septiembre,Antioquia,Aceites esenciales,"3301-Aceites esenciales (desterpenados o no), incluidos los ""concretos"" o ""absolutos"", resinoides.",3301909000,Los demás aceites esenciales (desterpenados o no).,0,0
2022,Septiembre,Antioquia,Agua mineral y agua gaseada,"2201-Agua, incluida el agua mineral natural o artificial y la gaseada, sin adición de azúcar y otro.",2201100000,"Agua mineral y agua gaseada, sin adición de azúcar u otro edulcorante ni aromatizada.",49,73
2022,Septiembre,Antioquia,Agua mineral y agua gaseada,"2202-Agua, incluidas el agua mineral y la gaseada, con adición de azúcar u otro dulcorante.",2202100000,"Agua, incluidas el agua mineral y la gaseada, con adición de azúcar u otro edulcorante o aromatizada.",482,877
2022,Septiembre,Antioquia,Aguacates,"0804-Dátiles, higos, piñas tropicales (ananás), aguacates (paltas), guayabas, mangos y mangostanes.",804400010,"Aguacates variedad Hass, frescos o secos",4883,3000
2022,Septiembre,Antioquia,Aguacates,"0804-Dátiles, higos, piñas tropicales (ananás), aguacates (paltas), guayabas, mangos y mangostanes.",804400090,"Los demas aguacates (paltas), frescos o secos.",2,1
2022,Septiembre,Antioquia,Ají,0709-Las demás hortalizas (incluso silvestres) frescas o refrigeradas.,709600000,"Frutos de los géneros ""capsicum"" o ""pimienta"", frescos o refrigerados.",4,2
